massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row567	744.5515	4.7	0.23879	1.1856	"744.5515_4.7"
row568	791.6009	5.31	0.23889	-1.1853	"791.6009_5.31"
row569	631.8895	9.96	0.23935	-1.1841	"631.8895_9.96"
row570	304.2354	2.09	0.24049	1.1812	"304.2354_2.09"
row571	742.5385	5.28	0.242	1.1774	"742.5385_5.28"
row572	1089.5109	4.49	0.24535	-1.169	"1089.5109_4.49"
row573	725.8759	9.93	0.24548	-1.1687	"725.8759_9.93"
row574	925.6629	5.77	0.24798	1.1625	"925.6629_5.77"
row575	248.9597	9.94	0.24889	-1.1602	"248.9597_9.94"
row576	656.8848	9.93	0.25256	-1.1512	"656.8848_9.93"
row577	793.8637	9.93	0.25273	-1.1508	"793.8637_9.93"
row578	147.9982	0.57	0.25332	-1.1494	"147.9982_0.57"
row579	128.0344	0.57	0.25504	1.1452	"128.0344_0.57"
row580	386.9391	9.94	0.25678	-1.141	"386.9391_9.94"
row581	434.8647	0.56	0.25695	1.1406	"434.8647_0.56"
row582	698.8731	9.96	0.25696	-1.1405	"698.8731_9.96"
row583	113.9881	9.95	0.25741	-1.1395	"113.9881_9.95"
row584	963.8295	9.93	0.25745	-1.1394	"963.8295_9.93"
row585	724.8725	9.93	0.25781	-1.1385	"724.8725_9.93"
row586	868.6159	5.32	0.25893	1.1358	"868.6159_5.32"
row587	1098.8019	9.93	0.25915	-1.1353	"1098.8019_9.93"
row588	983.8216	9.94	0.26291	-1.1263	"983.8216_9.94"
row589	426.9227	9.98	0.26622	-1.1185	"426.9227_9.98"
row590	1119.7957	9.93	0.27055	-1.1083	"1119.7957_9.93"
row591	933.6	5.26	0.27279	1.1031	"933.6_5.26"
row592	452.922	9.94	0.2735	-1.1015	"452.922_9.94"
row593	1153.7899	9.93	0.27558	1.0967	"1153.7899_9.93"
row594	749.5315	5.04	0.2757	1.0964	"749.5315_5.04"
row595	210.8431	0.53	0.27674	-1.094	"210.8431_0.53"
row596	222.8902	0.54	0.27744	-1.0924	"222.8902_0.54"
row597	479.2955	1.35	0.29074	-1.0625	"479.2955_1.35"
row598	1150.5371	5.0	0.29094	1.062	"1150.5371_5"
row599	915.8341	9.94	0.29186	-1.06	"915.8341_9.94"
row600	801.6073	5.05	0.29247	1.0587	"801.6073_5.05"
row601	950.6061	5.39	0.29438	1.0544	"950.6061_5.39"
row602	1082.5519	5.01	0.29451	1.0542	"1082.5519_5.01"
row603	530.3059	1.2	0.29502	-1.053	"530.3059_1.2"
row604	451.2317	0.6	0.29629	-1.0503	"451.2317_0.6"
row605	384.9345	9.94	0.29945	-1.0434	"384.9345_9.94"
row606	311.2188	0.97	0.30026	-1.0416	"311.2188_0.97"
row607	169.0909	0.62	0.30052	-1.0411	"169.0909_0.62"
row608	526.3491	1.41	0.30604	-1.0292	"526.3491_1.41"
row609	939.5383	4.73	0.30707	1.027	"939.5383_4.73"
row610	563.9022	9.97	0.30785	-1.0253	"563.9022_9.97"
row611	1106.7969	9.94	0.31065	-1.0194	"1106.7969_9.94"
row612	288.859	0.54	0.31223	1.016	"288.859_0.54"
row613	385.9377	9.94	0.31984	-1.0001	"385.9377_9.94"
row614	296.8904	0.54	0.32013	0.99948	"296.8904_0.54"
row615	236.0181	0.57	0.32125	-0.99715	"236.0181_0.57"
row616	308.9122	0.56	0.32175	0.99612	"308.9122_0.56"
row617	720.5368	3.92	0.32387	-0.99175	"720.5368_3.92"
row618	398.0767	0.62	0.32496	-0.9895	"398.0767_0.62"
row619	257.0796	0.58	0.3254	-0.98858	"257.0796_0.58"
row620	1142.4993	4.75	0.33177	-0.9756	"1142.4993_4.75"
row621	916.8373	9.94	0.33389	0.97131	"916.8373_9.94"
row622	1074.5096	4.74	0.33605	0.96695	"1074.5096_4.74"
row623	245.1374	0.61	0.33641	0.96622	"245.1374_0.61"
row624	485.0679	0.94	0.33874	-0.96156	"485.0679_0.94"
row625	152.8948	0.52	0.34313	-0.95282	"152.8948_0.52"
row626	96.9328	0.54	0.34957	0.94011	"96.9328_0.54"
row627	1134.8011	9.93	0.35246	-0.93446	"1134.8011_9.93"
row628	1145.5174	5.05	0.35667	-0.92629	"1145.5174_5.05"
row629	1140.7898	9.94	0.35684	-0.92596	"1140.7898_9.94"
row630	470.7706	0.54	0.35688	0.92588	"470.7706_0.54"
row631	127.0481	0.54	0.36041	0.91907	"127.0481_0.54"
row632	726.8767	9.93	0.3634	-0.91334	"726.8767_9.93"
row633	437.2097	0.65	0.3637	-0.91277	"437.2097_0.65"
row634	864.6116	5.25	0.36401	0.91218	"864.6116_5.25"
row635	92.9277	0.53	0.36428	-0.91166	"92.9277_0.53"
row636	822.5645	5.17	0.36828	-0.90405	"822.5645_5.17"
row637	462.2976	1.54	0.37028	0.90027	"462.2976_1.54"
row638	618.5518	0.53	0.37208	-0.89687	"618.5518_0.53"
row639	880.6007	5.01	0.37317	0.89482	"880.6007_5.01"
row640	122.0238	0.62	0.3741	-0.89306	"122.0238_0.62"
row641	457.2822	0.78	0.37764	-0.88644	"457.2822_0.78"
row642	929.8377	9.93	0.37854	-0.88476	"929.8377_9.93"
row643	552.3661	1.5	0.38037	0.88137	"552.3661_1.5"
row644	792.5414	4.73	0.38171	-0.87888	"792.5414_4.73"
row645	1052.812	9.94	0.38507	-0.87267	"1052.812_9.94"
row646	881.8402	9.94	0.39371	0.85684	"881.8402_9.94"
row647	775.5931	4.96	0.39384	0.85661	"775.5931_4.96"
row648	104.9537	0.56	0.3951	0.85433	"104.9537_0.56"
row649	271.2268	1.87	0.39864	0.84792	"271.2268_1.87"
row650	331.2618	2.66	0.39875	0.84772	"331.2618_2.66"
row651	873.5669	5.05	0.4003	-0.84492	"873.5669_5.05"
row652	562.5877	0.52	0.40156	-0.84265	"562.5877_0.52"
row653	1103.6488	1.21	0.40273	0.84056	"1103.6488_1.21"
row654	1018.5908	5.39	0.4039	0.83847	"1018.5908_5.39"
row655	1018.8185	9.94	0.40438	-0.83761	"1018.8185_9.94"
row656	610.325	1.21	0.40792	-0.83128	"610.325_1.21"
row657	870.5479	4.73	0.41069	0.82636	"870.5479_4.73"
row658	560.5905	0.53	0.41524	-0.81832	"560.5905_0.53"
row659	619.2886	0.84	0.4231	0.80456	"619.2886_0.84"
row660	938.5353	4.73	0.42413	0.80277	"938.5353_4.73"
row661	294.8144	0.54	0.42563	0.80017	"294.8144_0.54"
row662	907.5979	5.29	0.42596	-0.7996	"907.5979_5.29"
row663	630.8856	9.96	0.42909	-0.79418	"630.8856_9.96"
row664	167.0167	0.62	0.42945	-0.79357	"167.0167_0.62"
row665	628.8033	0.56	0.43008	0.79247	"628.8033_0.56"
row666	520.6954	0.53	0.43018	-0.7923	"520.6954_0.53"
row667	324.7622	0.53	0.43078	0.79128	"324.7622_0.53"
row668	744.5456	5.29	0.43378	0.78612	"744.5456_5.29"
row669	742.5389	4.72	0.43523	0.78363	"742.5389_4.72"
row670	138.0195	0.62	0.44069	-0.77432	"138.0195_0.62"
row671	932.5984	5.26	0.44188	0.7723	"932.5984_5.26"
row672	1008.5387	5.05	0.44278	-0.77077	"1008.5387_5.05"
row673	417.2214	2.74	0.44364	-0.76931	"417.2214_2.74"
row674	459.2573	0.63	0.44934	0.75968	"459.2573_0.63"
row675	839.5999	5.3	0.45042	0.75788	"839.5999_5.3"
row676	998.8271	9.93	0.45145	-0.75615	"998.8271_9.93"
row677	882.8454	9.94	0.45331	-0.75303	"882.8454_9.94"
row678	316.9471	9.94	0.45405	-0.75179	"316.9471_9.94"
row679	895.8423	9.93	0.4561	-0.74838	"895.8423_9.93"
row680	1085.8024	9.94	0.46274	-0.73735	"1085.8024_9.94"
row681	894.84	9.93	0.463	0.73693	"894.84_9.93"
row682	284.2663	3.4	0.46702	0.73031	"284.2663_3.4"
row683	588.8973	9.94	0.46809	-0.72855	"588.8973_9.94"
