massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row845	1064.8094	9.93	0.82763	0.21835	"1064.8094_9.93"
row846	419.9237	0.57	0.82892	-0.21669	"419.9237_0.57"
row847	317.9504	9.94	0.83281	-0.21168	"317.9504_9.94"
row848	590.6787	0.53	0.83363	-0.21063	"590.6787_0.53"
row849	1086.805	9.94	0.83407	-0.21007	"1086.805_9.94"
row850	1036.6655	1.21	0.8407	-0.20155	"1036.6655_1.21"
row851	941.554	5.05	0.84205	-0.19983	"941.554_5.05"
row852	765.5268	4.85	0.84869	0.19132	"765.5268_4.85"
row853	734.4641	0.53	0.84912	-0.19077	"734.4641_0.53"
row854	761.5749	4.73	0.85178	0.18737	"761.5749_4.73"
row855	114.989	9.95	0.85359	-0.18505	"114.989_9.95"
row856	150.8859	0.53	0.85375	0.18484	"150.8859_0.53"
row857	270.7973	0.53	0.85513	-0.18308	"270.7973_0.53"
row858	279.2321	2.19	0.85795	-0.17947	"279.2321_2.19"
row859	542.7543	0.54	0.86069	0.17597	"542.7543_0.54"
row860	1133.7997	9.93	0.86105	-0.17552	"1133.7997_9.93"
row861	500.635	0.53	0.86199	0.17432	"500.635_0.53"
row862	716.5234	5.17	0.86524	0.17017	"716.5234_5.17"
row863	146.045	0.59	0.8663	0.16883	"146.045_0.59"
row864	442.6764	0.53	0.87062	0.16332	"442.6764_0.53"
row865	212.8396	0.53	0.87864	0.1531	"212.8396_0.53"
row866	374.9108	0.56	0.881	0.1501	"374.9108_0.56"
row867	1038.8104	9.93	0.88697	-0.14252	"1038.8104_9.93"
row868	1099.8048	9.93	0.89258	0.13541	"1099.8048_9.93"
row869	430.2499	0.69	0.89603	-0.13104	"430.2499_0.69"
row870	415.2323	0.66	0.8963	-0.13068	"415.2323_0.66"
row871	444.2673	0.73	0.89636	0.13062	"444.2673_0.73"
row872	391.2057	2.62	0.90152	0.12408	"391.2057_2.62"
row873	255.2321	2.62	0.90185	0.12366	"255.2321_2.62"
row874	696.793	0.56	0.90222	-0.12319	"696.793_0.56"
row875	1004.815	9.94	0.90406	-0.12086	"1004.815_9.94"
row876	168.0236	0.6	0.90441	0.12042	"168.0236_0.6"
row877	305.2467	2.42	0.9104	0.11283	"305.2467_2.42"
row878	872.5634	5.06	0.91214	-0.11063	"872.5634_5.06"
row879	649.5128	5.26	0.91294	-0.10962	"649.5128_5.26"
row880	543.3378	1.21	0.91461	-0.10752	"543.3378_1.21"
row881	806.5825	5.05	0.91563	0.10623	"806.5825_5.05"
row882	962.8273	9.93	0.91813	-0.10307	"962.8273_9.93"
row883	608.3172	1.21	0.92061	0.099939	"608.3172_1.21"
row884	1083.557	5.0	0.92102	-0.09942	"1083.557_5"
row885	268.8007	0.53	0.92242	-0.097645	"268.8007_0.53"
row886	588.6821	0.53	0.92307	-0.096831	"588.6821_0.53"
row887	456.7016	0.53	0.93077	-0.087104	"456.7016_0.53"
row888	378.2421	1.06	0.9325	0.084924	"378.2421_1.06"
row889	835.8522	9.94	0.93727	0.078916	"835.8522_9.94"
row890	402.2183	0.64	0.9394	0.076225	"402.2183_0.64"
row891	572.6141	0.53	0.95002	-0.062855	"572.6141_0.53"
row892	735.553	4.2	0.95004	0.062821	"735.553_4.2"
row893	443.2638	0.73	0.95359	0.058353	"443.2638_0.73"
row894	373.1825	0.62	0.95668	-0.054463	"373.1825_0.62"
row895	824.5919	5.05	0.9568	0.054315	"824.5919_5.05"
row896	298.9003	0.54	0.95924	-0.051245	"298.9003_0.54"
row897	323.2185	2.62	0.96094	-0.0491	"323.2185_2.62"
row898	984.8243	9.94	0.96198	0.047802	"984.8243_9.94"
row899	681.2972	1.65	0.96587	-0.042909	"681.2972_1.65"
row900	1188.788	9.93	0.96689	-0.041616	"1188.788_9.93"
row901	256.0475	0.54	0.96831	-0.03983	"256.0475_0.54"
row902	474.7616	0.54	0.97115	0.036266	"474.7616_0.54"
row903	974.5742	5.29	0.98167	-0.023034	"974.5742_5.29"
row904	812.5428	4.42	0.98345	0.020804	"812.5428_4.42"
row905	609.3207	1.21	0.98352	-0.020709	"609.3207_1.21"
row906	930.8403	9.93	0.98557	-0.018134	"930.8403_9.93"
row907	256.2354	2.62	0.98768	-0.015478	"256.2354_2.62"
row908	347.219	2.19	0.98986	0.01274	"347.219_2.19"
row909	1035.663	1.21	0.99172	0.010403	"1035.663_1.21"
row910	338.787	0.53	0.99388	-0.0076859	"338.787_0.53"
row911	115.0254	0.57	0.99445	-0.0069697	"115.0254_0.57"
row912	676.3053	1.21	0.99725	-0.0034572	"676.3053_1.21"
